0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
11,89.21950639,141.5865157,118.4147601,79.19243768,84.76772031,22.81984916,32.39757873,114.4298889,101.8126271,102.3194146,35.49705712,103.2983409,23.77376338,102.7527115,135.0960644,56.71269838,38.87015879,78.45671854,98.19951291,100.4457555,73.13266359,94.09423857,87.14609778,211.2807388,63.1997388,80.1179226,85.64172904,130.6072252,161.6935994,165.3307803,72.37532336,92.27557827,99.77095681,103.1963773,56.79438438,56.38765131,106.6992434,79.87698454,115.0521774,79.19644044,118.0416432,88.98761667,77.75077439,115.4857947,124.4196628,98.5837905,111.7927167,114.3150977,157.3417463,106.5857957,103.1036558,104.4414041,95.35764536,39.48027123,115.7854604,77.30178732,1.509218108,94.40417844,117.4752178,102.3136437,104.0844599,85.51570694,92.51269184,151.4466417,142.1462121,105.1288869,130.1722377,59.99288107,128.9104879,29.71799232,33.28534839,81.87463608,119.5196592,18.39672199,36.34288927,92.7251937
12,264.9888139,419.3973485,225.8714055,228.4009134,276.9957147,97.50864645,79.11743116,326.5310611,510.525641,274.992876,157.662637,256.0393989,114.6757663,239.9620814,241.3374046,197.3993163,81.16289697,187.9667181,161.9517979,246.1066721,198.0163449,184.3559018,198.0346807,277.4618354,224.4239015,184.2332536,154.0651279,279.184305,304.914549,322.2073888,237.0640072,280.2538814,276.9021584,243.7768292,165.8745847,194.192164,169.1096423,197.0325748,216.8125911,211.7834874,246.2721512,275.9872762,231.8020612,190.1653154,289.9521131,215.5765467,265.3206198,236.0087464,272.3777066,215.1144187,198.8583171,223.7096199,237.2615697,85.14027489,417.9720932,243.4549509,229.4279835,308.8970162,280.5390783,194.9436315,158.4191952,199.5436872,214.057348,214.5446123,280.8151488,235.178802,292.2313862,179.4578177,315.0833366,83.14687334,76.50339155,175.0542838,262.993548,103.3263471,86.54877035,325.3090503
13,114.3470012,133.4591582,126.9859819,93.69175128,97.52521339,20.96671157,20.19823014,162.1019594,164.6336213,115.6604901,37.21974555,131.0179683,144.8586162,120.704701,131.8336275,57.18037735,16.19427738,102.3904677,102.2142871,100.7775948,76.30791837,104.1435917,104.5651605,104.2130056,74.13121159,76.07582664,77.54584656,128.3106529,165.9081624,163.5887379,104.788613,114.4891186,140.4128276,305.9453784,73.35208551,79.54290702,106.5294413,84.03481194,129.4475731,96.08940893,125.5522796,94.19755655,70.067731,127.2264519,146.9508578,98.20984493,134.4002723,106.8671099,170.5565558,109.1266883,109.7372764,110.1938156,91.18407543,16.43209605,132.2325699,100.9693201,35.35125863,119.8543608,131.1637435,100.6284426,100.1447768,79.17738207,91.51734901,79.47090614,132.4389272,124.1394888,141.7107502,95.94938986,133.6044974,16.37760124,19.19225912,90.38250728,138.680033,10.9742063,17.39445738,127.5779178
14,747.3272251,498.1665136,777.7122099,574.322379,699.917687,226.6575484,45.59589292,636.9999211,531.0563492,633.7671161,646.1094833,633.2786631,34.57286316,133.2834558,654.2877333,745.7261129,39.50142964,101.835938,671.2540102,83.28377213,776.1706037,78.120811,151.9940164,644.3082335,110.7447981,202.1764311,600.4029356,720.0155016,720.028528,612.7853916,748.1261303,643.2519975,690.444238,141.991584,655.2975358,738.9614574,643.6403045,730.7059274,499.3909567,742.2916125,739.5806744,717.4962492,720.4037158,632.7804505,717.5966762,646.296298,124.0715683,741.8837442,258.8840032,741.1644119,706.7884599,726.5170031,725.1746381,34.53502177,624.5923444,725.3020248,584.4205036,635.9681164,634.2819208,459.5801425,731.1910139,704.4816092,751.3404633,691.9518699,633.5142206,744.5358215,629.0011832,118.2198623,583.6563237,28.97966547,40.73367361,717.843012,619.5437821,49.19262687,60.21067064,204.9833507
15,850.0712275,267.3871695,188.6251599,146.3242912,199.0250995,248.9318967,66.04294544,734.9179335,261.098549,224.1154408,81.30432151,773.2460574,39.54148692,199.2600088,192.4822693,824.9368463,48.25058734,165.0159801,195.7388614,142.3344037,142.3449126,151.5304192,180.1238787,251.0363768,157.8259598,123.1346322,105.5823602,263.6170029,771.8835023,262.5065231,188.6696778,728.766093,211.3334801,178.451009,160.9239807,308.1674614,164.4594924,156.3571765,203.3232482,554.6350827,195.5905322,789.2819242,168.6091376,150.8058113,208.0119748,174.4682602,174.5309303,169.2375361,284.0255488,161.5532316,174.306072,168.8162509,192.2605646,62.23184215,195.400981,156.5588079,227.9635733,733.5259938,203.7615726,193.4400995,155.9893183,165.3215999,841.1399825,162.9581138,221.839128,181.9755507,207.5986255,149.1465307,208.2965939,51.23471003,146.7654377,159.0567749,207.1357232,58.9145883,55.05502713,245.4483377
16,106.5974527,137.4406795,102.2453928,85.20067393,114.6025537,11.35359941,18.51604612,119.4503946,134.1590784,112.5918291,55.25287487,108.8443848,38.49888444,87.7118909,115.6862129,64.27456444,34.63203781,80.71663966,79.19400793,77.69835595,78.79630249,71.23949533,74.15652502,118.5355936,106.3866525,85.41272055,67.36291758,93.5241922,116.3472827,144.3153922,97.17783992,110.9527834,124.3655007,90.95628133,64.31835722,91.4013404,88.35894829,80.10932737,97.2814604,89.27182543,91.80404689,93.03628182,86.83313248,78.82846023,83.00470519,78.95269396,96.16840394,87.30950514,136.6685228,91.66686162,94.11738024,90.94559585,97.62079038,27.64625845,124.4317884,89.70790924,100.3834536,93.17000601,91.15623962,100.4133955,83.76483878,76.70596516,87.99660947,79.05098527,124.5762412,93.85142689,120.6973893,37.26070346,142.7661126,26.24346165,20.11215515,82.79691942,124.4335486,32.05687914,18.14220237,126.9443451
17,166.0515004,210.0893864,253.7984591,103.6615669,168.0387949,234.3206028,28.45442963,214.8639247,244.4722877,168.3162836,78.38147474,163.4953597,25.71662152,113.4783608,180.5558053,109.3911062,15.03723053,86.4375434,120.9756502,80.06000804,115.3644351,79.18767553,113.3308385,216.1677504,96.48826455,87.92098525,74.99464712,198.9102665,255.1743686,273.27617,146.4526756,145.4540694,183.4137543,115.1069547,110.5495166,116.5840638,136.480434,122.173649,169.7465587,140.2065262,207.0636906,112.6372832,173.2704947,121.5148932,171.2921274,120.3707754,122.8051026,137.9893635,240.2771295,177.5659472,143.3327874,134.1027707,156.3140638,9.493616913,170.4770095,198.7532987,214.1650855,146.6700745,213.3416716,148.2000562,118.9658526,130.5815372,135.0863022,117.9030946,248.2195214,172.8307989,172.0374535,90.66371896,210.448905,12.54337385,26.27886787,105.7690749,170.1307902,24.21367676,28.63638827,177.4362471
18,175.0842249,186.4422196,164.4097506,146.4191123,232.2982654,210.5269436,33.67438136,201.8378014,203.6886782,231.7999177,70.29425053,188.8445622,602.5777547,160.778801,734.1847582,818.536349,36.99840485,117.0034599,144.5693068,127.3344845,119.9769439,124.7158508,142.6069733,173.6950091,561.1489613,131.3527082,110.7478147,178.2474772,210.6648039,242.583311,169.8232847,183.4800019,187.9746875,167.7927192,145.032352,156.7561076,136.7180836,129.2252772,524.9721005,132.9282393,144.1553965,157.3864007,154.5018029,129.3989984,176.3932327,141.8865353,164.7258675,134.7079462,226.757058,159.8021037,123.8097935,156.2592546,166.1100275,20.31644191,199.4595279,126.2492785,94.36456018,386.5544652,55.76677614,153.5271617,125.6085168,141.9964384,137.9743934,145.1010022,164.0594828,152.0353104,713.7065437,135.3983376,141.2930582,31.72795599,27.18711642,142.2963158,197.0307268,23.44183379,27.42162365,215.0736993
19,210.9048609,277.5169521,220.4701534,182.5100714,225.6382193,62.83476498,62.12541548,308.9350684,300.2147255,284.0085982,102.1365123,263.14971,247.2983881,208.3423508,252.295363,220.867343,53.27366083,184.7826368,196.1026812,171.9316535,163.4203317,212.1976567,176.1574743,242.9869682,207.6226052,202.255317,155.6297132,247.0329437,245.0474858,332.8085464,230.9971985,273.0554439,262.6087128,209.9403987,162.9296377,200.0868523,188.5096838,175.8120399,263.8290443,189.5082274,209.4174883,186.9935929,208.6306703,187.9643883,229.3559428,206.1405048,222.5682323,190.6510177,326.4894441,191.8717245,159.5755818,153.6253688,192.166731,56.44019816,258.7623007,157.5053416,226.0504825,349.0718222,197.6112654,192.5355361,167.2461322,167.9204881,187.1567562,175.4384008,273.2210017,240.7349144,234.9286123,135.2610778,244.8008997,55.18959445,62.6031123,167.3961256,275.2380395,54.37942158,52.98278922,279.5126176
20,107.4866319,187.7704443,147.4479144,71.38905277,155.1516416,196.3916521,21.52624198,179.9042839,208.2933228,156.4313958,69.52067039,136.4972636,16.47397772,98.15022318,294.6675141,390.0852013,2.367842191,67.00681186,80.08052141,46.69019565,70.66202132,57.96783572,99.67144491,180.1873987,110.1862214,100.5315234,57.02880228,201.1263168,243.6192709,225.9118259,119.9220813,137.6443428,157.7176005,120.3549319,93.59437362,97.45063013,113.2315328,84.27503567,499.3909567,127.7654711,144.9042934,99.45945782,139.4636043,83.30157981,140.6596987,105.918301,104.4338311,120.5301809,192.1006497,137.9068062,116.6421467,110.2580302,123.1700871,9.68137451,138.1802205,100.4876376,108.5970658,219.2767592,157.6527258,107.1022051,109.9441215,110.057851,130.6222973,119.451004,145.0260843,113.4014698,221.3662656,82.68092662,143.0977924,9.536436196,16.36247882,90.43315901,129.779298,15.90324975,19.91520719,154.60073
